day,healthy,dead,totalProtected,totalDetectedSick,totalSick,totalInfecting,probMeetHealthy
1,6999999988,0,0,0,12,12,0.9999999982857143
2,6999999986,0,0,0,14,14,0.999999998
3,6999999984,0,0,0,16,16,0.9999999977142857
4,6999999981,0,0,0,19,19,0.9999999972857143
5,6999999978,0,0,0,22,22,0.9999999968571428
6,6999999975,0,0,0,25,25,0.9999999964285714
7,6999999971,0,0,0,29,29,0.9999999958571428
8,6999999966,0,0,0,34,34,0.9999999951428571
9,6999999961,0,0,0,39,39,0.9999999944285715
10,6999999955,0,0,0,45,45,0.9999999935714285
11,6999999948,0,0,0,52,52,0.9999999925714286
12,6999999940,0,0,0,60,60,0.9999999914285714
13,6999999931,0,0,0,69,69,0.9999999901428571
14,6999999920,0,0,10,80,70,0.99999999
15,6999999909,0,0,12,91,79,0.9999999887142857
16,6999999897,0,0,14,103,89,0.9999999872857143
17,6999999883,0,0,16,117,101,0.9999999855714286
18,6999999867,0,0,19,133,114,0.9999999837142857
19,6999999849,0,0,22,151,129,0.9999999815714286
20,6999999829,0,0,25,171,146,0.9999999791428571
21,6999999806,0,0,29,194,165,0.9999999764285713
22,6999999780,0,0,34,220,186,0.9999999734285713
23,6999999751,0,0,39,249,210,0.9999999699999998
24,6999999718,0,0,45,282,237,0.9999999661428569
25,6999999681,0,0,52,319,267,0.9999999618571426
26,6999999639,0,0,60,361,301,0.9999999569999997
27,6999999592,0,0,69,408,339,0.9999999515714281
28,6999999539,0,10,70,451,381,0.9999999441428565
29,6999999479,0,12,79,509,430,0.9999999368571422
30,6999999411,0,14,89,575,486,0.9999999285714276
31,6999999335,0,16,101,649,548,0.9999999194285702
32,6999999249,0,19,114,732,618,0.9999999089999985
33,6999999152,1,22,128,825,697,0.9999998972857124
34,6999999042,2,25,144,931,787,0.9999998839999976
35,6999998918,3,29,162,1050,888,0.9999998689999969
36,6999998778,4,34,182,1184,1002,0.9999998519999961
37,6999998621,5,39,205,1335,1130,0.999999832999995
38,6999998443,6,45,231,1506,1275,0.9999998114285651
39,6999998243,7,52,260,1698,1438,0.999999787142849
40,6999998017,8,60,293,1915,1622,0.9999997597142753
41,6999997762,9,69,330,2160,1830,0.9999997287142726
42,6999997474,11,80,370,2435,2065,0.9999996935714119
43,6999997150,13,91,417,2746,2329,0.999999654285693
44,6999996784,15,103,471,3098,2627,0.999999609999973
45,6999996371,17,117,531,3495,2964,0.9999995598571084
46,6999995905,20,132,599,3943,3344,0.9999995034285275
47,6999995380,23,149,676,4448,3772,0.999999439857087
48,6999994787,26,168,764,5019,4255,0.9999993681427858
49,6999994118,30,190,862,5662,4800,0.9999992871427663
50,6999993364,34,215,973,6387,5414,0.9999991958570271
51,6999992513,39,243,1097,7205,6108,0.9999990927141384
52,6999991553,44,275,1238,8128,6890,0.999998976428384
53,6999990470,50,311,1396,9169,7773,0.9999988451426186
54,6999989249,57,352,1574,10342,8768,0.9999986971425536
55,6999987871,65,397,1776,11667,9891,0.9999985302853277
56,6999986317,74,448,2004,13161,11157,0.999998342142365
57,6999984564,84,506,2260,14846,12586,0.9999981297136594
58,6999982586,95,572,2549,16747,14198,0.999997889999203
59,6999980355,108,645,2876,18892,16016,0.9999976198561282
60,6999977838,122,728,3245,21312,18067,0.9999973149987085
61,6999974999,138,822,3660,24041,20381,0.9999969709983566
62,6999971796,156,928,4129,27120,22991,0.9999965829979083
63,6999968183,177,1048,4657,30592,25935,0.9999961452830524
64,6999964108,200,1183,5253,34509,29256,0.9999956515680412
65,6999959511,226,1335,5926,38928,33002,0.9999950947099747
66,6999954325,256,1507,6684,43912,37228,0.9999944664230853
67,6999948475,290,1700,7540,49535,41995,0.9999937578501605
68,6999941876,328,1918,8505,55878,47373,0.9999929584196859
69,6999934432,371,2164,9594,63033,53439,0.9999920567029779
70,6999926035,419,2442,10822,71104,60282,0.999991039414182
71,6999916562,473,2755,12208,80210,68002,0.9999898918388312
72,6999905876,534,3108,13772,90482,76710,0.9999885974052678
73,6999893822,603,3507,15535,102068,86533,0.9999871371132026
74,6999880224,681,3957,17524,115138,97614,0.999985489819406
75,6999864885,769,4464,19768,129882,110114,0.9999836316662634
76,6999847582,868,5036,22300,146514,124214,0.999981535653174
77,6999828063,980,5682,25155,165275,140120,0.9999791710650908
78,6999806045,1106,6410,28376,186439,158063,0.9999765037581834
79,6999781207,1249,7231,32009,210313,178304,0.9999734948740704
80,6999753189,1410,8157,36108,237244,201136,0.999970100839749
81,6999721583,1592,9202,40731,267623,226892,0.9999662720817905
82,6999685930,1797,10380,45947,301893,255946,0.9999619531690703
83,6999645711,2028,11710,51830,340551,288721,0.9999570809554952
84,6999600343,2289,13210,58466,384158,325692,0.9999515850083639
85,6999549165,2583,14902,65953,433350,367397,0.9999453853224184
86,6999491434,2915,16811,74398,488840,414442,0.9999383917481259
87,6999426311,3289,18964,83925,551436,467511,0.9999305027055518
88,6999352850,3711,21393,94672,622046,527374,0.9999216036124469
89,6999269983,4187,24133,106795,701697,594902,0.9999115650264728
90,6999176507,4724,27224,120470,791545,671075,0.9999002412158284
91,6999071063,5330,30711,135896,892896,757000,0.9998874675867854
92,6998952119,6013,34643,153299,1007225,853926,0.9998730586823893
93,6998817948,6784,39079,172930,1136189,963259,0.9998568051808409
94,6998666600,7653,44083,195075,1281664,1086589,0.9998384707504998
95,6998495878,8634,49728,220055,1445760,1225705,0.9998177893329179
96,6998303302,9740,56096,248234,1630862,1382628,0.999794460425162
